Localidade,Modelo,seed,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
Hyundai Metaplant Georgia,RNN,42,12,15.660300486942516,390.3694095331735,19.757768333826913,0.8701669783530452,9.961271199718205
Lucid AMP 1 Casa Grande,RNN,42,12,7.906892628491211,89.09442209709499,9.43898416658779,0.9839428226369913,3.8280151288296924
Rivian Normal,RNN,42,12,14.670502867276461,317.26057942385125,17.811810110818364,0.9462244207297794,9.900963166501537
Tesla Fremont Factory,RNN,42,12,8.20549009632542,116.04562775550873,10.772447621386178,0.986999384879002,4.882472297503889
Tesla Gigafactory Nevada,RNN,42,12,7.983602668449425,92.23581145548481,9.603947701621705,0.9895225653185795,4.323084699263978
Tesla Gigafactory Texas,RNN,42,12,14.353974696474632,337.91686498790125,18.38251519754305,0.89840855234425,8.80021744041177
BMW San Luis Potosi,RNN,67,12,16.822404412020656,503.7890300599701,22.445245154819986,0.750676000201805,9.057113673484746
BYD Camacari,RNN,67,12,16.90202194381565,479.31895310136224,21.8933540852324,0.657950655427572,9.26813131601377
Ford Rouge Electric Vehicle Center,RNN,67,12,11.326821130266374,174.16640048532471,13.197211845133225,0.9709867240334746,8.225356197010038
GM Factory Zero,RNN,67,12,12.87312188057711,302.43926292020905,17.390780974993877,0.9491584054696616,10.85027560140471
Hyundai Metaplant Georgia,RNN,67,12,14.224780395505457,290.42749447181194,17.04193341354824,0.9034066751753885,8.59202910124478
Lucid AMP 1 Casa Grande,RNN,67,12,11.842510604550377,216.99766001977616,14.73084043833807,0.9608912675756721,5.974147118282475
Rivian Normal,RNN,67,12,19.299859166372,522.9855436996376,22.868877184934934,0.9113540969588075,12.712010135890964
Tesla Fremont Factory,RNN,67,12,7.876374701883363,94.97687081897965,9.74560777063081,0.9893597219749135,4.417070440702753
Tesla Gigafactory Nevada,RNN,67,12,12.325405733490781,193.01214244442443,13.892880998713853,0.9780749788691513,6.253688914204882
Tesla Gigafactory Texas,RNN,67,12,14.158219425110161,306.8080081405897,17.515935833993847,0.9077611302398427,8.385361978759498
BMW San Luis Potosi,RNN,89,12,23.933704708462027,748.1104330334041,27.35160750364417,0.6297619155533323,11.036930833426242
BYD Camacari,RNN,89,12,14.424546712379481,364.25998449737364,19.085596257318596,0.7400584972801165,8.07952092076037
Ford Rouge Electric Vehicle Center,RNN,89,12,12.551206804267771,215.65976575456807,14.685358890901103,0.9640746074944534,9.152865709519908
GM Factory Zero,RNN,89,12,13.681999269864614,286.4191734925808,16.92392311175458,0.9518514648401777,10.558998487966678
Hyundai Metaplant Georgia,RNN,89,12,13.044053712086102,284.86503098241127,16.877945105444894,0.9052566957584394,8.50935113969567
Lucid AMP 1 Casa Grande,RNN,89,12,11.475595546344955,166.9241229942696,12.919911880282683,0.9699158467388379,5.239718307393624
Rivian Normal,RNN,89,12,18.466840305931118,457.5855839238577,21.39125017206469,0.9224393718063113,11.890648885280605
Tesla Fremont Factory,RNN,89,12,8.566770886360365,112.4191556808688,10.602789995131886,0.9874056592781442,4.805577176788486
Tesla Gigafactory Nevada,RNN,89,12,9.77747601029598,120.09905550394326,10.958971461954961,0.9863574679998326,4.933029970461851
Tesla Gigafactory Texas,RNN,89,12,14.749372674012605,283.3205688519319,16.832129064736044,0.9148224024233034,8.058004803094091
BMW San Luis Potosi,LSTM,11,12,17.772357893704964,528.4002861424851,22.986959045130025,0.7384959477583847,9.275706263995618
BYD Camacari,LSTM,11,12,15.504579664014457,461.8529609955188,21.490764551209406,0.6704146548447776,9.097702762524348
Ford Rouge Electric Vehicle Center,LSTM,11,12,12.176894502580504,204.00408221482868,14.282999762473873,0.9660162538864936,8.902089470624194
GM Factory Zero,LSTM,11,12,13.398874774652837,241.3506168578199,15.535463200620054,0.9594277208473106,9.692724988290404
Hyundai Metaplant Georgia,LSTM,11,12,13.114081949549382,226.7659864898425,15.058751159702537,0.9245798658559417,7.592168391510512
Lucid AMP 1 Casa Grande,LSTM,11,12,9.6311370633902,136.04553552924332,11.663855946008734,0.9754809870021055,4.730320152444163
Rivian Normal,LSTM,11,12,15.684932037444318,349.90843649593626,18.70583963621885,0.9406906181086941,10.39792295585943
Tesla Fremont Factory,LSTM,11,12,10.47389067374364,183.486711324471,13.545726681299568,0.9794439466623173,6.139425095899802
Tesla Gigafactory Nevada,LSTM,11,12,9.715333145944406,149.26810086670437,12.217532519568113,0.983044039487793,5.499553885449244
Tesla Gigafactory Texas,LSTM,11,12,12.066990548798527,242.55440630481783,15.574158285596619,0.9270783561729904,7.455779467162324
BMW San Luis Potosi,LSTM,23,12,17.67438727223075,450.75858291846106,21.231075877554133,0.7769206431048747,8.567171635106604
BYD Camacari,LSTM,23,12,14.459936705806888,378.5059021031527,19.45522814317922,0.7298923923340034,8.235997486361292
Ford Rouge Electric Vehicle Center,LSTM,23,12,14.445059459735267,275.6840306473167,16.603735442583897,0.9540755459236319,10.348522083210826
GM Factory Zero,LSTM,23,12,12.050333412882807,185.1680431050338,13.607646493976606,0.9688723002541966,8.489941593677434
Hyundai Metaplant Georgia,LSTM,23,12,12.095247035648839,205.43200470013633,14.332899382195366,0.9316753381236867,7.226215805956232
Lucid AMP 1 Casa Grande,LSTM,23,12,12.745604861085845,212.61924072643907,14.58146908670176,0.9616803748341053,5.9135690111698915
Rivian Normal,LSTM,23,12,14.830756187646445,302.8300821207045,17.402013737516256,0.9486703859771585,9.673171674643799
Tesla Fremont Factory,LSTM,23,12,9.416333201571836,117.75075351089451,10.851301926999106,0.9868083592961565,4.918211989747061
Tesla Gigafactory Nevada,LSTM,23,12,8.868301071874699,118.63973416514882,10.89218684035253,0.986523238146646,4.902967793452405
Tesla Gigafactory Texas,LSTM,23,12,12.188012934859778,274.3953369294655,16.56488264158444,0.9175056873540486,7.930066563487969
BMW San Luis Potosi,LSTM,42,12,15.368318879600055,387.12792572644065,19.67556671932071,0.8084113048983914,7.939492000997493
BYD Camacari,LSTM,42,12,14.362076214830623,363.6637848680746,19.069970762119027,0.7404839544649755,8.072906167222675
Ford Rouge Electric Vehicle Center,LSTM,42,12,13.037896442400543,237.06442463815213,15.396896591136544,0.9605089411349934,9.596342036240856
GM Factory Zero,LSTM,42,12,13.93920263421127,262.3067175857064,16.195885822816436,0.9559048926078263,10.104769017511217
Hyundai Metaplant Georgia,LSTM,42,12,12.636245992331204,248.04852329799306,15.74955628892424,0.9175015036824837,7.940451513473858
Lucid AMP 1 Casa Grande,LSTM,42,12,7.495579164733631,81.36728134788363,9.020381441373953,0.9853354582992306,3.6582492369914412
Rivian Normal,LSTM,42,12,14.236592126342925,279.6853080091999,16.72379466536228,0.9525934187005582,9.29617337910634
Tesla Fremont Factory,LSTM,42,12,10.152983415053908,154.9762054885894,12.448943950736922,0.9826379843908061,5.642322535129707
Tesla Gigafactory Nevada,LSTM,42,12,9.769634662239165,136.9316300944876,11.701778928628228,0.9844453885373162,5.26739451444328
Tesla Gigafactory Texas,LSTM,42,12,13.33599497426018,283.67833823359666,16.84275328542209,0.9147148425079037,8.063090910798472
BMW San Luis Potosi,LSTM,67,12,18.866883436548747,493.5411422922136,22.21578588058981,0.7557476556275611,8.964522181798957
BYD Camacari,LSTM,67,12,13.898914745085508,359.17317843654547,18.951864774648048,0.7436885199775611,8.022908263894244
Ford Rouge Electric Vehicle Center,LSTM,67,12,11.403283974513945,194.57790215945587,13.949118329107968,0.9675865014342101,8.693992961359202
GM Factory Zero,LSTM,67,12,13.578244973012694,250.28919376674182,15.82053076754196,0.9579251001277199,9.870581386491962
Hyundai Metaplant Georgia,LSTM,67,12,12.683538960907645,208.3971531854887,14.435967344985533,0.9306891589352468,7.278179565830749
Lucid AMP 1 Casa Grande,LSTM,67,12,11.662552179295796,196.33863720813102,14.012088966607763,0.964614571298003,5.682654786152962
Rivian Normal,LSTM,67,12,15.990791035306296,365.40620743093456,19.11560115274784,0.9380637502799201,10.62569507205436
