tarefa,epoca,fase,modelo,mse_treino_normalizado,mse_validacao_normalizado,semente
daily_30,1,refit_epocas_fixas,TimesNet,0.033823202094635484,0.033823202094635484,23
daily_30,2,refit_epocas_fixas,TimesNet,0.02543917303519875,0.02543917303519875,23
daily_30,3,refit_epocas_fixas,TimesNet,0.024980649483187237,0.024980649483187237,23
daily_30,4,refit_epocas_fixas,TimesNet,0.024757533876339815,0.024757533876339815,23
daily_30,1,selecao_epocas,TimesNet,0.03245536904666842,0.025978428711966862,42
daily_30,2,selecao_epocas,TimesNet,0.025588728524849252,0.025847573564166115,42
daily_30,3,selecao_epocas,TimesNet,0.025097609411544517,0.025729534058343797,42
daily_30,4,selecao_epocas,TimesNet,0.024901075614747203,0.025796336541100154,42
daily_30,5,selecao_epocas,TimesNet,0.024717299841979786,0.025827110457041908,42
daily_30,6,selecao_epocas,TimesNet,0.024571289681421894,0.025833338026016478,42
daily_30,7,selecao_epocas,TimesNet,0.02442217276177623,0.02575305395656162,42
daily_30,8,selecao_epocas,TimesNet,0.024331191685941025,0.025869447428082663,42
daily_30,1,refit_epocas_fixas,TimesNet,0.03063818012993762,0.03063818012993762,42
daily_30,2,refit_epocas_fixas,TimesNet,0.025245374665912968,0.025245374665912968,42
daily_30,3,refit_epocas_fixas,TimesNet,0.024885567708471633,0.024885567708471633,42
daily_30,1,selecao_epocas,TimesNet,0.03177950319318204,0.025919846031400892,67
daily_30,2,selecao_epocas,TimesNet,0.025873850002856934,0.025739123518504794,67
daily_30,3,selecao_epocas,TimesNet,0.02525954390190814,0.02548887568806845,67
daily_30,4,selecao_epocas,TimesNet,0.024928374657967767,0.02547686945824396,67
daily_30,5,selecao_epocas,TimesNet,0.024754290507919562,0.025518791694489736,67
daily_30,6,selecao_epocas,TimesNet,0.024617891878434287,0.025541711440162054,67
daily_30,7,selecao_epocas,TimesNet,0.024463450060607454,0.025584775606791177,67
daily_30,8,selecao_epocas,TimesNet,0.02440144437685567,0.02556035560274881,67
daily_30,9,selecao_epocas,TimesNet,0.024327973220863962,0.025662353549684797,67
daily_30,1,refit_epocas_fixas,TimesNet,0.030297957167195876,0.030297957167195876,67
daily_30,2,refit_epocas_fixas,TimesNet,0.02546384527280344,0.02546384527280344,67
daily_30,3,refit_epocas_fixas,TimesNet,0.024979410056212095,0.024979410056212095,67
daily_30,4,refit_epocas_fixas,TimesNet,0.024712737052384037,0.024712737052384037,67
daily_30,1,selecao_epocas,TimesNet,0.033510383320474804,0.02596758944647653,89
daily_30,2,selecao_epocas,TimesNet,0.025768663427655453,0.025642591885157995,89
daily_30,3,selecao_epocas,TimesNet,0.025205766447342324,0.025602265861299302,89
daily_30,4,selecao_epocas,TimesNet,0.024918910871489425,0.025595000263244388,89
daily_30,5,selecao_epocas,TimesNet,0.024753667435136597,0.025693966055673267,89
daily_30,6,selecao_epocas,TimesNet,0.02463325354800452,0.025620454417334664,89
