data_local,localidade,latitude_fabrica,longitude_fabrica,precipitacao_corrigida_mm_dia,nebulosidade_percentual,irradiacao_all_sky_kwh_m2_dia,irradiacao_clear_sky_kwh_m2_dia,indice_all_sky_clear_sky,chuva_relevante,muito_nublado,condicao_adversa_independente,fonte_contexto,time_standard
2024-02-15,BMW San Luis Potosi,21.9682649,-100.8491733,1.31,97.05,3.8263,5.9438,0.643746424846058,True,True,True,NASA POWER Daily API,LST
2024-02-16,BMW San Luis Potosi,21.9682649,-100.8491733,6.15,94.82,2.2594,6.079,0.3716729725283764,True,True,True,NASA POWER Daily API,LST
2024-02-17,BMW San Luis Potosi,21.9682649,-100.8491733,2.63,81.26,3.511,6.3446,0.5533839800775463,True,True,True,NASA POWER Daily API,LST
2024-02-18,BMW San Luis Potosi,21.9682649,-100.8491733,0.12,30.7,6.3547,6.6641,0.9535721252682282,False,False,False,NASA POWER Daily API,LST
2024-02-19,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,1.89,6.7075,6.745,0.9944403261675314,False,False,False,NASA POWER Daily API,LST
2024-02-20,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,0.47,6.8465,6.8501,0.9994744602268579,False,False,False,NASA POWER Daily API,LST
2024-02-21,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,1.39,7.0382,7.0601,0.996898060933981,False,False,False,NASA POWER Daily API,LST
2024-02-22,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,4.06,6.9864,7.0397,0.9924286546301688,False,False,False,NASA POWER Daily API,LST
2024-02-23,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,25.42,6.2206,6.7759,0.9180477870098437,False,False,False,NASA POWER Daily API,LST
2024-02-24,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,39.11,6.2234,6.583,0.945374449339207,False,False,False,NASA POWER Daily API,LST
2024-02-25,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,2.14,6.7524,6.7582,0.9991417833150837,False,False,False,NASA POWER Daily API,LST
2024-02-26,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,5.23,6.8059,6.8911,0.9876362264369986,False,False,False,NASA POWER Daily API,LST
2024-02-27,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,1.77,6.9418,6.9547,0.9981451392583433,False,False,False,NASA POWER Daily API,LST
2024-02-28,BMW San Luis Potosi,21.9682649,-100.8491733,0.04,32.08,6.6408,6.9355,0.9575084709105327,False,False,False,NASA POWER Daily API,LST
2024-02-29,BMW San Luis Potosi,21.9682649,-100.8491733,0.08,74.85,5.3597,6.612,0.8106019358741682,False,False,False,NASA POWER Daily API,LST
2024-03-01,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,57.03,6.2549,7.0829,0.8830987307458809,False,False,False,NASA POWER Daily API,LST
2024-03-02,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,27.23,6.9434,7.0783,0.9809417515505136,False,False,False,NASA POWER Daily API,LST
2024-03-03,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,1.19,7.1602,7.1664,0.9991348515293591,False,False,False,NASA POWER Daily API,LST
2024-03-04,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,3.38,7.1935,7.2022,0.998792035766849,False,False,False,NASA POWER Daily API,LST
2024-03-05,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,12.68,7.0277,7.3819,0.9520177732020212,False,False,False,NASA POWER Daily API,LST
2024-03-06,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,8.99,7.2468,7.3459,0.9865094814794647,False,False,False,NASA POWER Daily API,LST
2024-03-07,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,42.11,7.2473,7.4904,0.9675451244259319,False,False,False,NASA POWER Daily API,LST
