tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
hourly_72_extension,horaria,principal,cumulativo,24,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,87120,65.90883264462809,142.77659115784238,0.711937048069238,0.7343548427002797,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,1,XGBoost,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,174240,49.81454328714592,98.23011219442954,0.4901753814042095,0.873849453138156,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,2,TimesNet,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,174240,51.8592855930738,100.255445002061,0.4998970069923702,0.8690858185430365,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,3,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,174240,52.146529972433385,103.71306536218302,0.5173420009705831,0.8600706328588862,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,4,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,174240,52.79429803989891,102.9995834219048,0.5139418699562366,0.8617705023849995,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,5,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,174240,56.16320305325987,128.3472565562093,0.6433655989151565,0.7808428371060854,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,48,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,174240,65.92044019742883,142.78953576253724,0.7121417250051031,0.7342796259658225,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,72,1,XGBoost,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,261360,50.50245734982077,99.2174887928926,0.4948175205418758,0.8715248772042858,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,72,2,TimesNet,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,261360,52.20590000060123,101.04118734725915,0.5035045919974223,0.86725163956174,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,72,3,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,261360,52.957992923843335,104.92877033861905,0.5230565244634844,0.8571068199328191,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,72,4,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,261360,53.39171561106737,104.68423984454948,0.5217285216794213,0.8578288285204113,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,72,5,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,261360,58.10878481787573,131.31918734833886,0.6576951199363135,0.7711698431772295,media_aritmetica_das_metricas_por_localidade
